,Symbol,Name,Size_Index,BM_Ratio_Index,Momentum_Index,ESG_Index,Monthly Return,Benchmark_Return,Abnormal_Return,Month
119,ATVI,"Activision Blizzard, Inc.",5,3.0,5.0,Average,1.1,2.891666666666668,-1.7916666666666679,2020-08
120,AVA,Avista Corporation,3,5.0,4.0,Average,0.4,-0.05454545454545472,0.45454545454545475,2020-08
121,AVAV,"AeroVironment, Inc.",2,3.0,5.0,Average,-0.2,-4.058333333333333,3.8583333333333325,2020-08
122,AVB,"AvalonBay Communities, Inc.",5,5.0,2.0,Average,3.2,2.227272727272727,0.9727272727272731,2020-08
123,AVD,American Vanguard Corporation,1,2.0,4.0,Laggard,5.1,2.4454545454545453,2.6545454545454543,2020-08
124,AVGO,Broadcom Inc.,5,1.0,4.0,Laggard,9.6,0.2636363636363636,9.336363636363636,2020-08
125,AVNS,"Avanos Medical, Inc.",2,3.0,2.0,Average,5.6,7.718181818181819,-2.118181818181819,2020-08
126,AVNT,Avient Corporation,2,1.0,2.0,Average,6.8,5.845454545454545,0.954545454545455,2020-08
127,AVT,"Avnet, Inc.",3,5.0,1.0,Average,3.0,8.008333333333333,-5.008333333333333,2020-08
128,AVY,Avery Dennison Corporation,4,2.0,2.0,Average,1.8,4.954545454545454,-3.1545454545454543,2020-08
129,AWK,"American Water Works Company, Inc.",5,4.0,4.0,Average,-3.7,1.7545454545454546,-5.454545454545455,2020-08
130,AWR,American States Water Company,3,3.0,2.0,Average,-0.6,3.5545454545454542,-4.154545454545454,2020-08
131,AX,"Axos Financial, Inc.",2,4.0,3.0,Laggard,10.6,2.072727272727272,8.527272727272727,2020-08
132,AXL,"American Axle & Manufacturing Holdings, Inc.",1,1.0,2.0,Average,10.2,5.733333333333334,4.466666666666665,2020-08
133,AXP,American Express Company,5,4.0,1.0,Leader,8.9,5.6499999999999995,3.250000000000001,2020-08
134,AYI,"Acuity Brands, Inc.",3,2.0,1.0,Leader,10.3,7.708333333333332,2.5916666666666686,2020-08
135,AZO,"AutoZone, Inc.",5,2.0,3.0,Laggard,-0.9,3.8363636363636364,-4.736363636363636,2020-08
136,AZZ,AZZ Inc.,1,2.0,3.0,Laggard,10.0,1.8909090909090913,8.10909090909091,2020-08
137,B,Barnes Group Inc.,2,1.0,2.0,Average,7.8,5.845454545454545,1.954545454545455,2020-08
138,BA,Boeing Company,5,2.0,1.0,Average,8.7,6.675000000000001,2.0249999999999986,2020-08
139,BAC,Bank of America Corp,5,5.0,3.0,Average,3.5,2.275,1.225,2020-08
140,BANC,Banc of California Incorporated,1,5.0,4.0,Laggard,2.5,1.9727272727272727,0.5272727272727273,2020-08
141,BANF,BancFirst Corporation,2,4.0,3.0,Average,1.0,2.072727272727272,-1.0727272727272719,2020-08
142,BANR,Banner Corporation,2,5.0,2.0,Average,3.1,6.481818181818183,-3.381818181818183,2020-08
143,BAX,Baxter International Inc.,5,4.0,2.0,Average,1.1,3.163636363636364,-2.063636363636364,2020-08
144,BBBY,Bed Bath & Beyond Inc.,2,5.0,5.0,Laggard,12.6,8.783333333333333,3.8166666666666664,2020-08
145,BBY,"Best Buy Co., Inc.",5,4.0,5.0,Leader,11.4,7.033333333333332,4.366666666666668,2020-08
146,BC,Brunswick Corporation,3,2.0,5.0,Average,-7.2,2.625,-9.825,2020-08
147,BCC,Boise Cascade Co.,2,4.0,5.0,Leader,-1.5,-1.033333333333333,-0.466666666666667,2020-08
148,BCEI,Bonanza Creek Energy Inc,1,5.0,4.0,Laggard,10.2,1.9727272727272727,8.227272727272727,2020-08
149,BCO,Brink's Company,2,1.0,1.0,Average,9.0,10.191666666666666,-1.1916666666666664,2020-08
150,BCOR,"Blucora, Inc.",1,1.0,1.0,Laggard,1.2,14.166666666666664,-12.966666666666665,2020-08
151,BCPC,Balchem Corporation,3,2.0,3.0,Average,-2.6,5.627272727272728,-8.227272727272728,2020-08
152,BDC,Belden Inc.,2,1.0,2.0,Average,6.6,5.845454545454545,0.7545454545454549,2020-08
153,BDN,Brandywine Realty Trust,2,4.0,3.0,Average,2.8,2.072727272727272,0.727272727272728,2020-08
154,BDX,"Becton, Dickinson and Company",5,1.0,4.0,Average,-13.7,0.2636363636363636,-13.963636363636363,2020-08
155,BEAT,"BioTelemetry, Inc.",2,1.0,4.0,Leader,-7.0,2.0454545454545454,-9.045454545454545,2020-08
156,BEN,"Franklin Resources, Inc.",4,5.0,2.0,Average,0.0,2.609090909090909,-2.609090909090909,2020-08
157,BF.B,Brown-Forman Corporation Class B,5,3.0,3.0,Average,5.5,9.036363636363637,-3.536363636363637,2020-08
158,BFS,"Saul Centers, Inc.",1,2.0,2.0,Laggard,-8.8,7.763636363636365,-16.563636363636366,2020-08
159,BGS,"B&G Foods, Inc.",2,1.0,5.0,Average,7.7,0.28333333333333277,7.416666666666668,2020-08
160,BHE,"Benchmark Electronics, Inc.",1,4.0,4.0,Average,-3.7,8.781818181818183,-12.481818181818184,2020-08
161,BHF,"Brighthouse Financial, Inc.",3,5.0,3.0,Laggard,7.1,4.833333333333335,2.266666666666665,2020-08
162,BHLB,"Berkshire Hills Bancorp, Inc.",1,4.0,1.0,Average,-7.8,9.208333333333334,-17.008333333333333,2020-08
163,BIG,"Big Lots, Inc.",2,5.0,5.0,Average,19.9,8.783333333333333,11.116666666666665,2020-08
164,BIIB,Biogen Inc.,5,3.0,3.0,Average,4.7,9.036363636363637,-4.336363636363637,2020-08
165,BIO,"Bio-Rad Laboratories, Inc. Class A",4,5.0,5.0,Laggard,-3.1,0.4166666666666666,-3.5166666666666666,2020-08
166,BJ,"BJ's Wholesale Club Holdings, Inc.",4,1.0,5.0,Average,10.9,3.2750000000000004,7.625,2020-08
167,BJRI,"BJ's Restaurants, Inc.",1,3.0,1.0,Average,57.1,13.725,43.375,2020-08
168,BK,Bank of New York Mellon Corporation,5,4.0,1.0,Leader,3.2,5.6499999999999995,-2.4499999999999993,2020-08
169,BKE,"Buckle, Inc.",1,3.0,4.0,Average,16.9,10.08181818181818,6.818181818181818,2020-08
170,BKH,Black Hills Corporation,3,3.0,1.0,Average,-2.2,1.591666666666667,-3.791666666666667,2020-08
171,BKNG,Booking Holdings Inc.,5,3.0,1.0,Average,14.9,6.508333333333334,8.391666666666666,2020-08
172,BKR,Baker Hughes Company Class A,4,1.0,1.0,Leader,-6.6,6.099999999999999,-12.7,2020-08
173,BKU,"BankUnited, Inc.",2,5.0,2.0,Average,16.1,6.481818181818183,9.618181818181817,2020-08
174,BLD,TopBuild Corp.,3,1.0,5.0,Average,16.6,3.8333333333333335,12.766666666666667,2020-08
175,BLDR,"Builders FirstSource, Inc.",3,2.0,5.0,Average,29.3,2.625,26.675,2020-08
176,BLK,"BlackRock, Inc.",5,3.0,3.0,Leader,3.3,9.036363636363637,-5.736363636363637,2020-08
177,BLKB,"Blackbaud, Inc.",3,1.0,1.0,Average,2.1,7.591666666666665,-5.491666666666665,2020-08
178,BLL,Ball Corporation,5,1.0,2.0,Average,9.4,4.6454545454545455,4.754545454545455,2020-08
179,BLMN,"Bloomin' Brands, Inc.",1,1.0,2.0,Laggard,24.5,5.733333333333334,18.766666666666666,2020-08
180,BMI,"Badger Meter, Inc.",2,2.0,5.0,Leader,-1.2,-2.1416666666666666,0.9416666666666667,2020-08
181,BMY,Bristol-Myers Squibb Company,5,1.0,5.0,Average,6.0,2.3833333333333333,3.6166666666666667,2020-08
182,BOH,Bank of Hawaii Corporation,2,3.0,1.0,Average,-1.6,4.575,-6.175000000000001,2020-08
183,BOOM,DMC Global Inc.,1,3.0,1.0,Average,20.6,13.725,6.875000000000002,2020-08
184,BOOT,"Boot Barn Holdings, Inc.",1,2.0,2.0,Average,45.8,7.763636363636365,38.03636363636363,2020-08
185,BPFH,"Boston Private Financial Holdings, Inc.",1,5.0,2.0,Average,2.0,14.32727272727273,-12.32727272727273,2020-08
186,BR,"Broadridge Financial Solutions, Inc.",4,2.0,3.0,Average,2.3,6.0636363636363635,-3.7636363636363637,2020-08
187,BRC,Brady Corporation Class A,2,2.0,2.0,Average,2.0,2.772727272727273,-0.7727272727272729,2020-08
188,BRK.B,Berkshire Hathaway Inc. Class B,5,5.0,3.0,Average,11.4,2.275,9.125,2020-08
189,BRKL,"Brookline Bancorp, Inc.",1,4.0,3.0,Average,1.3,9.42727272727273,-8.127272727272729,2020-08
190,BRKS,"Brooks Automation, Inc.",3,3.0,5.0,Average,-5.2,5.008333333333332,-10.208333333333332,2020-08
191,BRO,"Brown & Brown, Inc.",4,1.0,4.0,Average,2.2,2.545454545454545,-0.3454545454545448,2020-08
192,BRX,"Brixmor Property Group, Inc.",3,4.0,1.0,Average,2.5,3.508333333333333,-1.0083333333333329,2020-08
193,BSIG,"BrightSphere Investment Group, Inc.",1,1.0,5.0,Average,3.1,0.2916666666666668,2.808333333333333,2020-08
194,BSX,Boston Scientific Corporation,5,2.0,1.0,Average,6.4,6.675000000000001,-0.27500000000000036,2020-08
195,BWA,BorgWarner Inc.,4,4.0,3.0,Average,11.4,3.19,8.21,2020-08
196,BXP,"Boston Properties, Inc.",4,4.0,1.0,Average,-2.5,2.991666666666667,-5.491666666666667,2020-08
197,BXS,BancorpSouth Bank,2,4.0,2.0,Average,3.1,10.727272727272727,-7.627272727272727,2020-08
198,BYD,Boyd Gaming Corporation,3,1.0,3.0,Average,13.1,5.283333333333334,7.8166666666666655,2020-08
199,C,Citigroup Inc.,5,5.0,2.0,Average,2.2,2.227272727272727,-0.027272727272726893,2020-08
200,CABO,"Cable One, Inc.",4,1.0,5.0,Average,1.1,3.2750000000000004,-2.1750000000000003,2020-08
201,CACI,CACI International Inc Class A,3,1.0,3.0,Average,12.7,5.283333333333334,7.416666666666665,2020-08
202,CADE,Cadence Bancorporation Class A,1,5.0,2.0,Average,21.6,14.32727272727273,7.272727272727272,2020-08
203,CAG,"Conagra Brands, Inc.",4,1.0,5.0,Average,3.0,3.2750000000000004,-0.27500000000000036,2020-08
204,CAH,"Cardinal Health, Inc.",4,1.0,4.0,Leader,-7.1,2.545454545454545,-9.645454545454545,2020-08
205,CAKE,Cheesecake Factory Incorporated,1,2.0,1.0,Average,23.0,3.9333333333333336,19.066666666666666,2020-08
206,CALM,"Cal-Maine Foods, Inc.",2,4.0,4.0,Laggard,-12.2,2.581818181818182,-14.781818181818181,2020-08
207,CAR,"Avis Budget Group, Inc.",2,1.0,2.0,Leader,31.7,5.845454545454545,25.854545454545455,2020-08
208,CASH,"Meta Financial Group, Inc.",1,3.0,2.0,Average,3.3,6.727272727272726,-3.427272727272726,2020-08
209,CASY,"Casey's General Stores, Inc.",4,4.0,2.0,Average,11.7,4.0583333333333345,7.641666666666665,2020-08
210,CAT,Caterpillar Inc.,5,4.0,3.0,Average,7.1,5.718181818181819,1.381818181818181,2020-08
211,CATM,Cardtronics plc Class A,1,1.0,3.0,Average,-2.8,13.227272727272727,-16.027272727272727,2020-08
212,CATO,Cato Corporation Class A,1,5.0,3.0,Laggard,11.3,8.533333333333333,2.7666666666666675,2020-08
213,CATY,Cathay General Bancorp,2,5.0,3.0,Average,3.4,5.7250000000000005,-2.3250000000000006,2020-08
214,CB,Chubb Limited,5,5.0,2.0,Average,-1.8,2.227272727272727,-4.027272727272727,2020-08
215,CBB,Cincinnati Bell Inc.,1,1.0,5.0,Average,0.3,0.2916666666666668,0.008333333333333193,2020-08
216,CBOE,Cboe Global Markets Inc,4,2.0,1.0,Average,5.1,9.508333333333331,-4.408333333333331,2020-08
217,CBRE,"CBRE Group, Inc. Class A",4,3.0,1.0,Leader,7.3,10.433333333333334,-3.1333333333333337,2020-08
218,CBRL,"Cracker Barrel Old Country Store, Inc.",3,3.0,1.0,Laggard,22.2,1.591666666666667,20.60833333333333,2020-08
219,CBSH,"Commerce Bancshares, Inc.",4,5.0,5.0,Average,4.0,0.4166666666666666,3.5833333333333335,2020-08
220,CBT,Cabot Corporation,2,3.0,3.0,Laggard,2.4,5.0249999999999995,-2.6249999999999996,2020-08
221,CBU,"Community Bank System, Inc.",3,4.0,3.0,Average,7.0,5.4,1.5999999999999996,2020-08
222,CC,Chemours Co.,3,3.0,3.0,Average,12.8,4.481818181818182,8.318181818181818,2020-08
223,CCI,Crown Castle International Corp,5,2.0,4.0,Average,-2.1,4.918181818181818,-7.018181818181818,2020-08
224,CCL.U,Carnival Corporation,4,5.0,1.0,Laggard,18.7,7.633333333333333,11.066666666666666,2020-08
225,CCMP,"CMC Materials, Inc.",3,1.0,5.0,Average,1.0,3.8333333333333335,-2.8333333333333335,2020-08
226,CCOI,Cogent Communications Holdings Inc,3,1.0,5.0,Average,-24.6,3.8333333333333335,-28.433333333333334,2020-08
227,CCS,"Century Communities, Inc.",2,5.0,5.0,Average,0.2,8.783333333333333,-8.583333333333334,2020-08
228,CDAY,"Ceridian HCM Holding, Inc.",4,2.0,5.0,Average,1.6,5.041666666666667,-3.441666666666667,2020-08
229,CDK,CDK Global Inc,4,1.0,2.0,Average,2.9,3.763636363636365,-0.8636363636363651,2020-08
230,CDNS,"Cadence Design Systems, Inc.",5,3.0,4.0,Leader,1.5,6.718181818181818,-5.218181818181818,2020-08
231,CDW,CDW Corp.,4,1.0,3.0,Average,-1.9,6.125,-8.025,2020-08
232,CE,Celanese Corporation,4,3.0,2.0,Average,4.1,3.4909090909090916,0.609090909090908,2020-08
233,CENT,Central Garden & Pet Company,2,3.0,5.0,Laggard,7.5,-4.058333333333333,11.558333333333334,2020-08
234,CENX,Century Aluminum Company,1,5.0,5.0,Average,13.3,8.7,4.600000000000001,2020-08
235,CERN,Cerner Corporation,5,4.0,2.0,Leader,5.6,3.163636363636364,2.4363636363636356,2020-08
