,Size_Index,BM_Ratio_Index,Momentum_Index,ESG Rating,Abnormal Return,Month
106,5,2.0,2.0,Leader,5.666666666666667,Jan
107,5,2.0,3.0,Leader,-0.4696969696969697,Jan
108,5,2.0,4.0,Leader,4.1030303030303035,Jan
110,5,3.0,1.0,Leader,9.341666666666665,Jan
111,5,3.0,2.0,Leader,-1.9022727272727273,Jan
112,5,3.0,3.0,Leader,3.112121212121212,Jan
113,5,3.0,4.0,Leader,-0.5568181818181817,Jan
114,5,3.0,5.0,Leader,-3.7749999999999995,Jan
115,5,4.0,1.0,Leader,-5.441666666666667,Jan
117,5,4.0,3.0,Leader,4.754545454545454,Jan
118,5,4.0,4.0,Leader,0.3803030303030308,Jan
119,5,4.0,5.0,Leader,0.9166666666666665,Jan
120,5,5.0,1.0,Leader,3.750000000000001,Jan
121,5,5.0,2.0,Leader,3.3545454545454545,Jan
122,5,5.0,3.0,Leader,-1.2636363636363641,Jan
124,5,5.0,5.0,Leader,6.963636363636364,Jan
125,1,1.0,1.0,Laggard,10.55,Jan
126,1,1.0,2.0,Laggard,-11.345454545454544,Jan
127,1,1.0,3.0,Laggard,24.45833333333333,Jan
128,1,1.0,4.0,Laggard,1.7863636363636366,Jan
129,1,1.0,5.0,Laggard,2.208333333333333,Jan
130,1,2.0,1.0,Laggard,-1.2333333333333334,Jan
131,1,2.0,2.0,Laggard,-2.8636363636363633,Jan
132,1,2.0,3.0,Laggard,-2.374999999999999,Jan
133,1,2.0,4.0,Laggard,-2.709090909090909,Jan
134,1,2.0,5.0,Laggard,13.583333333333332,Jan
135,1,3.0,1.0,Laggard,10.883333333333333,Jan
136,1,3.0,2.0,Laggard,6.254545454545454,Jan
137,1,3.0,3.0,Laggard,0.7763636363636359,Jan
138,1,3.0,4.0,Laggard,2.410606060606061,Jan
139,1,3.0,5.0,Laggard,-1.261904761904761,Jan
140,1,4.0,1.0,Laggard,-5.466666666666668,Jan
141,1,4.0,2.0,Laggard,5.375,Jan
142,1,4.0,3.0,Laggard,2.0727272727272728,Jan
143,1,4.0,4.0,Laggard,1.3886363636363637,Jan
144,1,4.0,5.0,Laggard,-5.408333333333334,Jan
145,1,5.0,1.0,Laggard,9.425,Jan
146,1,5.0,2.0,Laggard,-2.652272727272728,Jan
147,1,5.0,3.0,Laggard,5.142424242424243,Jan
148,1,5.0,4.0,Laggard,-6.1045454545454545,Jan
149,1,5.0,5.0,Laggard,-5.411666666666668,Jan
150,2,1.0,1.0,Laggard,2.6833333333333327,Jan
151,2,1.0,2.0,Laggard,2.1772727272727277,Jan
152,2,1.0,3.0,Laggard,-0.7833333333333314,Jan
153,2,1.0,4.0,Laggard,8.05,Jan
154,2,1.0,5.0,Laggard,3.9000000000000004,Jan
155,2,2.0,1.0,Laggard,-0.3083333333333331,Jan
156,2,2.0,2.0,Laggard,2.3606060606060604,Jan
157,2,2.0,3.0,Laggard,-3.6,Jan
158,2,2.0,4.0,Laggard,4.7,Jan
159,2,2.0,5.0,Laggard,-3.5272727272727273,Jan
160,2,3.0,1.0,Laggard,3.183333333333332,Jan
161,2,3.0,2.0,Laggard,-1.2781818181818183,Jan
162,2,3.0,3.0,Laggard,-7.536363636363639,Jan
163,2,3.0,4.0,Laggard,-4.3575757575757565,Jan
164,2,3.0,5.0,Laggard,3.0583333333333336,Jan
165,2,4.0,1.0,Laggard,-3.9833333333333325,Jan
166,2,4.0,2.0,Laggard,-0.22142857142857197,Jan
167,2,4.0,3.0,Laggard,4.07,Jan
168,2,4.0,4.0,Laggard,-2.3590909090909102,Jan
169,2,4.0,5.0,Laggard,-3.2583333333333337,Jan
170,2,5.0,1.0,Laggard,2.9369047619047617,Jan
171,2,5.0,2.0,Laggard,-2.8318181818181802,Jan
172,2,5.0,3.0,Laggard,1.7818181818181817,Jan
173,2,5.0,4.0,Laggard,7.030303030303031,Jan
174,2,5.0,5.0,Laggard,-9.233333333333334,Jan
175,3,1.0,1.0,Laggard,-20.083333333333332,Jan
176,3,1.0,2.0,Laggard,0.418181818181818,Jan
177,3,1.0,3.0,Laggard,-3.745454545454545,Jan
178,3,1.0,4.0,Laggard,3.090909090909091,Jan
179,3,1.0,5.0,Laggard,-2.5250000000000004,Jan
180,3,2.0,1.0,Laggard,2.658333333333333,Jan
182,3,2.0,3.0,Laggard,-0.2454545454545456,Jan
183,3,2.0,4.0,Laggard,-0.40909090909090906,Jan
184,3,2.0,5.0,Laggard,-4.358333333333333,Jan
185,3,3.0,1.0,Laggard,0.3833333333333324,Jan
186,3,3.0,2.0,Laggard,-2.8818181818181823,Jan
187,3,3.0,3.0,Laggard,-1.5454545454545459,Jan
188,3,3.0,4.0,Laggard,3.6363636363636362,Jan
189,3,3.0,5.0,Laggard,3.866666666666666,Jan
190,3,4.0,1.0,Laggard,5.166666666666666,Jan
191,3,4.0,2.0,Laggard,10.327272727272726,Jan
192,3,4.0,3.0,Laggard,-6.530303030303029,Jan
193,3,4.0,4.0,Laggard,-1.1454545454545464,Jan
194,3,4.0,5.0,Laggard,-4.391666666666666,Jan
195,3,5.0,1.0,Laggard,5.783333333333333,Jan
196,3,5.0,2.0,Laggard,-6.49090909090909,Jan
197,3,5.0,3.0,Laggard,-0.6563636363636363,Jan
198,3,5.0,4.0,Laggard,0.5181818181818176,Jan
199,3,5.0,5.0,Laggard,1.1416666666666664,Jan
200,4,1.0,1.0,Laggard,-5.991666666666667,Jan
203,4,1.0,4.0,Laggard,2.29090909090909,Jan
204,4,1.0,5.0,Laggard,-8.766666666666667,Jan
205,4,2.0,1.0,Laggard,4.091666666666667,Jan
207,4,2.0,3.0,Laggard,1.8272727272727272,Jan
210,4,3.0,1.0,Laggard,-8.833333333333332,Jan
211,4,3.0,2.0,Laggard,-0.6000000000000005,Jan
213,4,3.0,4.0,Laggard,0.4500000000000004,Jan
215,4,4.0,1.0,Laggard,-15.558333333333334,Jan
216,4,4.0,2.0,Laggard,5.331818181818182,Jan
217,4,4.0,3.0,Laggard,-3.7181818181818187,Jan
219,4,4.0,5.0,Laggard,-10.416666666666666,Jan
220,4,5.0,1.0,Laggard,-7.966666666666667,Jan
221,4,5.0,2.0,Laggard,6.699999999999999,Jan
222,4,5.0,3.0,Laggard,4.56,Jan
223,4,5.0,4.0,Laggard,6.457575757575757,Jan
224,4,5.0,5.0,Laggard,-4.5166666666666675,Jan
225,5,1.0,1.0,Laggard,0.41666666666666696,Jan
227,5,1.0,3.0,Laggard,-3.2727272727272725,Jan
228,5,1.0,4.0,Laggard,-2.2636363636363637,Jan
229,5,1.0,5.0,Laggard,4.175000000000001,Jan
230,5,2.0,1.0,Laggard,7.45,Jan
231,5,2.0,2.0,Laggard,-5.8,Jan
233,5,2.0,4.0,Laggard,-11.763636363636364,Jan
234,5,2.0,5.0,Laggard,-4.333333333333333,Jan
236,5,3.0,2.0,Laggard,2.1727272727272724,Jan
237,5,3.0,3.0,Laggard,0.9454545454545454,Jan
238,5,3.0,4.0,Laggard,1.7181818181818178,Jan
240,5,4.0,1.0,Laggard,10.058333333333334,Jan
245,5,5.0,1.0,Laggard,-5.750000000000001,Jan
246,5,5.0,2.0,Laggard,-11.545454545454547,Jan
247,5,5.0,3.0,Laggard,-3.663636363636364,Jan
248,5,5.0,4.0,Laggard,-0.21666666666666679,Jan
250,1,1.0,1.0,Average,-5.912500000000001,Jan
251,1,1.0,2.0,Average,1.1878787878787878,Jan
252,1,1.0,3.0,Average,-5.786111111111111,Jan
253,1,1.0,4.0,Average,-1.1636363636363638,Jan
254,1,1.0,5.0,Average,-1.1041666666666665,Jan
255,1,2.0,1.0,Average,0.8809523809523814,Jan
256,1,2.0,2.0,Average,0.9141414141414144,Jan
257,1,2.0,3.0,Average,1.3571428571428577,Jan
258,1,2.0,4.0,Average,0.6020202020202019,Jan
259,1,2.0,5.0,Average,-1.2944444444444438,Jan
260,1,3.0,1.0,Average,1.3833333333333337,Jan
261,1,3.0,2.0,Average,-0.3954545454545455,Jan
262,1,3.0,3.0,Average,-0.6469696969696974,Jan
263,1,3.0,4.0,Average,-2.8927272727272726,Jan
264,1,3.0,5.0,Average,1.3166666666666673,Jan
265,1,4.0,1.0,Average,1.093333333333332,Jan
266,1,4.0,2.0,Average,-3.0714285714285703,Jan
267,1,4.0,3.0,Average,-1.1844155844155848,Jan
268,1,4.0,4.0,Average,-0.7935064935064933,Jan
269,1,4.0,5.0,Average,2.7041666666666666,Jan
270,1,5.0,1.0,Average,-4.712499999999995,Jan
271,1,5.0,2.0,Average,2.83939393939394,Jan
272,1,5.0,3.0,Average,-1.9284090909090912,Jan
273,1,5.0,4.0,Average,6.545454545454547,Jan
274,1,5.0,5.0,Average,3.86547619047619,Jan
275,2,1.0,1.0,Average,-5.5966666666666685,Jan
276,2,1.0,2.0,Average,0.4272727272727277,Jan
277,2,1.0,3.0,Average,-1.4733333333333327,Jan
278,2,1.0,4.0,Average,-2.1857142857142855,Jan
279,2,1.0,5.0,Average,-1.2541666666666664,Jan
280,2,2.0,1.0,Average,0.15416666666666679,Jan
281,2,2.0,2.0,Average,-2.0893939393939407,Jan
282,2,2.0,3.0,Average,1.088888888888889,Jan
283,2,2.0,4.0,Average,0.04444444444444473,Jan
284,2,2.0,5.0,Average,0.7838383838383838,Jan
285,2,3.0,1.0,Average,-0.6366666666666685,Jan
286,2,3.0,2.0,Average,-0.45818181818181786,Jan
287,2,3.0,3.0,Average,0.7536363636363648,Jan
288,2,3.0,4.0,Average,1.309090909090909,Jan
289,2,3.0,5.0,Average,-1.0194444444444444,Jan
290,2,4.0,1.0,Average,1.3277777777777766,Jan
291,2,4.0,2.0,Average,0.3099999999999996,Jan
292,2,4.0,3.0,Average,0.2575000000000003,Jan
293,2,4.0,4.0,Average,0.5242424242424244,Jan
294,2,4.0,5.0,Average,1.0861111111111112,Jan
295,2,5.0,1.0,Average,-4.111666666666665,Jan
296,2,5.0,2.0,Average,1.1556818181818196,Jan
297,2,5.0,3.0,Average,-1.018181818181819,Jan
298,2,5.0,4.0,Average,-2.6363636363636362,Jan
299,2,5.0,5.0,Average,1.8466666666666671,Jan
300,3,1.0,1.0,Average,1.825757575757577,Jan
301,3,1.0,2.0,Average,0.2806818181818178,Jan
302,3,1.0,3.0,Average,3.837878787878788,Jan
303,3,1.0,4.0,Average,-0.3090909090909092,Jan
304,3,1.0,5.0,Average,0.5049999999999999,Jan
305,3,2.0,1.0,Average,-0.06388888888888822,Jan
306,3,2.0,2.0,Average,1.031313131313131,Jan
307,3,2.0,3.0,Average,0.865656565656566,Jan
308,3,2.0,4.0,Average,0.040909090909090895,Jan
309,3,2.0,5.0,Average,-0.04833333333333345,Jan
310,3,3.0,1.0,Average,-1.4345238095238098,Jan
311,3,3.0,2.0,Average,1.0806818181818176,Jan
312,3,3.0,3.0,Average,-1.0329545454545457,Jan
313,3,3.0,4.0,Average,-0.808080808080808,Jan
314,3,3.0,5.0,Average,0.16666666666666607,Jan
315,3,4.0,1.0,Average,-0.46969696969696884,Jan
316,3,4.0,2.0,Average,-1.0327272727272723,Jan
317,3,4.0,3.0,Average,2.4488636363636367,Jan
318,3,4.0,4.0,Average,0.7878787878787876,Jan
319,3,4.0,5.0,Average,0.8783333333333334,Jan
320,3,5.0,1.0,Average,-1.9277777777777807,Jan
321,3,5.0,2.0,Average,0.6490909090909092,Jan
322,3,5.0,3.0,Average,0.5469696969696969,Jan
323,3,5.0,4.0,Average,-0.11515151515151567,Jan
324,3,5.0,5.0,Average,-0.5708333333333337,Jan
325,4,1.0,1.0,Average,-0.19166666666666643,Jan
326,4,1.0,2.0,Average,-0.04999999999999982,Jan
327,4,1.0,3.0,Average,-0.618181818181819,Jan
328,4,1.0,4.0,Average,-0.8590909090909089,Jan
329,4,1.0,5.0,Average,1.0133333333333336,Jan
330,4,2.0,1.0,Average,-1.0369047619047622,Jan
331,4,2.0,2.0,Average,0.006060606060606044,Jan
332,4,2.0,3.0,Average,-0.6352272727272724,Jan
333,4,2.0,4.0,Average,-0.34659090909090917,Jan
334,4,2.0,5.0,Average,-0.6863636363636352,Jan
335,4,3.0,1.0,Average,2.9111111111111123,Jan
336,4,3.0,2.0,Average,1.25,Jan
337,4,3.0,3.0,Average,-1.2282828282828273,Jan
338,4,3.0,4.0,Average,1.175,Jan
339,4,3.0,5.0,Average,0.011666666666666714,Jan
340,4,4.0,1.0,Average,1.4143939393939393,Jan
341,4,4.0,2.0,Average,-1.1848484848484848,Jan
342,4,4.0,3.0,Average,0.8262626262626269,Jan
343,4,4.0,4.0,Average,-1.25,Jan
344,4,4.0,5.0,Average,2.166666666666667,Jan
345,4,5.0,1.0,Average,1.6833333333333336,Jan
346,4,5.0,2.0,Average,-2.2333333333333334,Jan
347,4,5.0,3.0,Average,-1.1399999999999997,Jan
348,4,5.0,4.0,Average,-2.9090909090909096,Jan
349,4,5.0,5.0,Average,0.41060606060605975,Jan
350,5,1.0,1.0,Average,-0.7833333333333323,Jan
351,5,1.0,2.0,Average,1.9233766233766234,Jan
352,5,1.0,3.0,Average,1.505050505050505,Jan
353,5,1.0,4.0,Average,0.2530303030303027,Jan
354,5,1.0,5.0,Average,-1.0083333333333329,Jan
355,5,2.0,1.0,Average,-1.6125000000000003,Jan
356,5,2.0,2.0,Average,-1.6000000000000005,Jan
357,5,2.0,3.0,Average,0.1761363636363633,Jan
358,5,2.0,4.0,Average,-0.07792207792207784,Jan
359,5,2.0,5.0,Average,0.8666666666666674,Jan
360,5,3.0,1.0,Average,-3.113888888888888,Jan
361,5,3.0,2.0,Average,0.9060606060606062,Jan
362,5,3.0,3.0,Average,-1.4688311688311693,Jan
363,5,3.0,4.0,Average,1.3681818181818177,Jan
364,5,3.0,5.0,Average,1.2583333333333329,Jan
365,5,4.0,1.0,Average,-0.4616666666666669,Jan
366,5,4.0,2.0,Average,0.0,Jan
367,5,4.0,3.0,Average,-0.4754545454545456,Jan
368,5,4.0,4.0,Average,-0.45636363636363564,Jan
369,5,4.0,5.0,Average,-0.4583333333333335,Jan
370,5,5.0,1.0,Average,0.5000000000000009,Jan
371,5,5.0,2.0,Average,0.6045454545454546,Jan
372,5,5.0,3.0,Average,1.064935064935065,Jan
373,5,5.0,4.0,Average,0.043333333333333,Jan
374,5,5.0,5.0,Average,-0.6963636363636363,Jan
