Symbol,Name,Stock Exchange,Company Main Business,Size,Book Value Per Shr Tangble,Common Shares Outstdg,MktVal Co,Book to Market Ratio,Momentum,Monthly Return,Sales,MSCI ESG Rtg Score Environmental,MSCI ESG Rtg Score Governance,MSCI ESG Rtg Score Social,MSCI ESG Rtg Overall Company Rating,1 MktVal Co,1 Closing Price,2 MktVal Co,2 Closing Price,3 MktVal Co,3 Closing Price,4 MktVal Co,4 Closing Price,5 MktVal Co,5 Closing Price,6 MktVal Co,6 Closing Price,7 MktVal Co,7 Closing Price,8 MktVal Co,8 Closing Price,9 MktVal Co,9 Closing Price,10 MktVal Co,10 Closing Price,11 MktVal Co,11 Closing Price,12 MktVal Co,12 Closing Price,13 MktVal Co,13 Closing Price,14 MktVal Co,14 Closing Price,15 MktVal Co,15 Closing Price,16 MktVal Co,16 Closing Price,17 MktVal Co,17 Closing Price,18 MktVal Co,18 Closing Price,19 MktVal Co,19 Closing Price,20 MktVal Co,20 Closing Price,21 MktVal Co,21 Closing Price,22 MktVal Co,22 Closing Price,23 MktVal Co,23 Closing Price,24 MktVal Co,24 Closing Price,25 MktVal Co,25 Closing Price,26 MktVal Co,26 Closing Price,27 MktVal Co,27 Closing Price,28 MktVal Co,28 Closing Price,29 MktVal Co,29 Closing Price,30 MktVal Co,30 Closing Price,31 MktVal Co,31 Closing Price,STD MktVal,STD Closing Price,1 Price Chg (LOCAL),2 Price Chg (LOCAL),3 Price Chg (LOCAL),4 Price Chg (LOCAL),5 Price Chg (LOCAL),6 Price Chg (LOCAL),7 Price Chg (LOCAL),8 Price Chg (LOCAL),9 Price Chg (LOCAL),10 Price Chg (LOCAL),11 Price Chg (LOCAL),12 Price Chg (LOCAL),13 Price Chg (LOCAL),14 Price Chg (LOCAL),15 Price Chg (LOCAL),16 Price Chg (LOCAL),17 Price Chg (LOCAL),18 Price Chg (LOCAL),19 Price Chg (LOCAL),20 Price Chg (LOCAL),21 Price Chg (LOCAL),22 Price Chg (LOCAL),23 Price Chg (LOCAL),24 Price Chg (LOCAL),25 Price Chg (LOCAL),26 Price Chg (LOCAL),27 Price Chg (LOCAL),28 Price Chg (LOCAL),29 Price Chg (LOCAL),30 Price Chg (LOCAL),31 Price Chg (LOCAL)
ABBV,"AbbVie, Inc.",NYSE,Healthcare,"121,382.5",-28.7,"1,478.9","130,934.8",-0.3,9.9,11.9,"36,227.0",7.3,5.8,4.0,A,"122,327.6",82.8,"122,327.6",82.8,"122,327.6",82.8,"120,880.5",81.9,"126,063.6",85.4,"126,137.4",85.4,"124,365.4",84.2,"147,966.3",84.0,"147,966.3",84.0,"147,966.3",84.0,"154,909.9",87.9,"159,421.5",90.5,"156,619.4",88.9,"158,505.1",89.9,"159,862.1",90.7,"159,862.1",90.7,"159,862.1",90.7,"161,201.5",91.5,"160,725.6",91.2,"160,708.0",91.2,"163,933.1",93.0,"162,311.7",92.1,"162,311.7",92.1,"162,311.7",92.1,"162,311.7",92.1,"159,862.1",90.7,"158,575.6",90.0,"158,663.7",90.0,"163,316.3",92.7,"163,316.3",92.7,"163,316.3",92.7,"15,686.4",3.7,0.8,0.0,0.0,-1.2,4.3,0.1,-1.4,-0.3,0.0,0.0,4.7,2.9,-1.8,1.2,0.9,0.0,0.0,0.8,-0.3,0.0,2.0,-1.0,0.0,0.0,0.0,-1.5,-0.8,0.1,2.9,0.0,0.0
ABC,AmerisourceBergen Corporation,NYSE,Healthcare,"18,460.3",-28.6,205.8,"17,507.5",-0.3,24.4,10.9,"186,287.0",10.0,5.2,3.0,BBB,"17,785.0",86.4,"17,785.0",86.4,"17,785.0",86.4,"17,578.1",86.4,"17,893.3",88.0,"17,390.9",85.5,"18,050.0",88.7,"17,917.8",88.1,"17,917.8",88.1,"17,917.8",88.1,"18,436.4",90.6,"18,017.4",88.6,"17,116.3",84.2,"17,091.9",84.0,"17,441.8",85.8,"17,441.8",85.8,"17,441.8",85.8,"18,143.5",89.2,"18,231.0",89.6,"18,861.5",92.7,"18,763.9",92.3,"18,944.9",93.1,"18,944.9",93.1,"18,944.9",93.1,"18,944.9",93.1,"18,464.9",90.8,"18,983.6",93.3,"19,201.2",94.4,"19,392.4",95.3,"19,392.4",95.3,"19,392.4",95.3,707.0,3.6,-3.7,0.0,0.0,0.0,1.8,-2.8,3.8,-0.7,0.0,0.0,2.9,-2.3,-5.0,-0.1,2.0,0.0,0.0,4.0,0.5,3.5,-0.5,1.0,0.0,0.0,0.0,-2.5,2.8,1.1,1.0,0.0,0.0
ABCB,Ameris Bancorp,NASDAQ,Finance,"1,765.9",20.8,69.5,"2,963.4",0.5,-28.1,2.2,"1,070.2",2.4,7.2,3.8,BBB,"1,645.8",23.7,"1,645.8",23.7,"1,645.8",23.7,"1,674.2",24.1,"1,609.0",23.2,"1,522.2",21.9,"1,513.8",21.8,"1,628.4",23.5,"1,628.4",23.5,"1,628.4",23.5,"1,515.2",21.8,"1,399.9",20.2,"1,286.0",18.5,"1,317.3",19.0,"1,344.3",19.4,"1,344.3",19.4,"1,344.3",19.4,"1,511.0",21.8,"1,427.7",20.6,"1,502.0",21.6,"1,494.3",21.5,"1,503.4",21.7,"1,503.4",21.7,"1,503.4",21.7,"1,503.4",21.7,"1,685.3",24.3,"1,856.1",26.7,"1,720.7",24.8,"1,682.5",24.2,"1,682.5",24.2,"1,682.5",24.2,137.3,2.0,-6.8,0.0,0.0,1.7,-3.9,-5.4,-0.5,7.6,0.0,0.0,-7.0,-7.6,-8.1,2.4,2.1,0.0,0.0,12.4,-5.5,5.2,-0.5,0.6,0.0,0.0,0.0,12.1,10.1,-7.3,-2.2,0.0,0.0
ABG,"Asbury Automotive Group, Inc.",NYSE,Consumer Cyclicals,"1,301.3",16.7,19.3,"2,162.9",0.1,-14.8,10.0,"6,788.4",1.8,7.3,4.4,BBB,"1,267.2",65.7,"1,267.2",65.7,"1,267.2",65.7,"1,272.0",66.0,"1,300.4",67.5,"1,251.0",64.9,"1,260.8",65.4,"1,340.3",69.5,"1,340.3",69.5,"1,340.3",69.5,"1,287.5",66.8,"1,228.8",63.7,"1,129.2",58.5,"1,169.9",60.7,"1,201.8",62.3,"1,201.8",62.3,"1,201.8",62.3,"1,362.1",70.6,"1,327.1",68.8,"1,364.0",70.7,"1,407.6",73.0,"1,390.2",72.1,"1,390.2",72.1,"1,390.2",72.1,"1,390.2",72.1,"1,492.8",77.4,"1,525.4",79.1,"1,470.1",76.2,"1,394.3",72.3,"1,394.3",72.3,"1,394.3",72.3,95.4,4.9,-2.6,0.0,0.0,0.4,2.2,-3.8,0.8,6.3,0.0,0.0,-3.9,-4.6,-8.1,3.6,2.7,0.0,0.0,13.3,-2.6,2.8,3.2,-1.2,0.0,0.0,0.0,7.4,2.2,-3.6,-5.2,0.0,0.0
ABM,ABM Industries Incorporated,NYSE,Business Services,"2,298.1",-8.6,66.7,"2,504.5",-0.2,-3.8,-7.6,"6,151.0",8.3,5.6,5.7,BBB,"2,214.8",33.2,"2,214.8",33.2,"2,214.8",33.2,"2,156.2",32.4,"2,146.2",32.2,"2,069.6",31.1,"2,104.2",31.6,"2,232.1",33.5,"2,232.1",33.5,"2,232.1",33.5,"2,245.5",33.7,"2,136.9",32.1,"1,976.3",29.7,"2,026.9",30.4,"2,103.5",31.6,"2,103.5",31.6,"2,103.5",31.6,"2,170.8",32.6,"2,123.5",31.9,"2,177.5",32.7,"2,170.2",32.6,"2,170.8",32.6,"2,170.8",32.6,"2,170.8",32.6,"2,170.8",32.6,"2,276.1",34.2,"2,232.1",33.5,"2,230.8",33.5,"2,047.6",30.7,"2,047.6",30.7,"2,047.6",30.7,74.6,1.1,-3.6,0.0,0.0,-2.6,-0.5,-3.6,1.7,6.1,0.0,0.0,0.6,-4.8,-7.5,2.6,3.8,0.0,0.0,3.2,-2.2,2.5,-0.3,0.0,0.0,0.0,0.0,4.8,-1.9,-0.1,-8.2,0.0,0.0
ABMD,"ABIOMED, Inc.",NASDAQ,Healthcare,"8,607.9",22.1,45.1,"7,703.0",0.1,-31.0,22.0,798.1,6.3,4.6,6.8,A,"8,258.6",183.5,"8,258.6",183.5,"8,258.6",183.5,"8,146.6",181.0,"8,381.5",186.2,"8,412.6",186.9,"8,476.5",188.3,"8,419.8",187.1,"8,419.8",187.1,"8,419.8",187.1,"8,759.1",194.6,"8,609.7",191.3,"8,353.6",185.6,"8,293.8",184.3,"8,323.0",184.9,"8,323.0",184.9,"8,323.0",184.9,"8,598.9",191.1,"8,587.2",190.8,"8,837.9",196.4,"8,836.1",196.3,"9,279.0",206.2,"9,279.0",206.2,"9,279.0",206.2,"9,279.0",206.2,"9,399.6",209.1,"9,340.3",207.8,"9,771.8",217.4,"10,065.9",223.9,"10,065.9",223.9,"10,065.9",223.9,598.7,13.4,-4.1,0.0,0.0,-1.4,2.9,0.4,0.8,-0.7,0.0,0.0,4.0,-1.7,-3.0,-0.7,0.4,0.0,0.0,3.3,-0.1,2.9,0.0,5.0,0.0,0.0,0.0,1.4,-0.6,4.6,3.0,0.0,0.0
ABT,Abbott Laboratories,NYSE,Healthcare,"162,893.0",-5.2,"1,762.5","153,516.2",-0.1,18.7,5.6,"31,444.0",10.0,5.0,4.1,BBB,"158,930.8",89.9,"158,930.8",89.9,"158,930.8",89.9,"158,895.4",89.8,"164,555.7",93.0,"161,106.4",91.1,"166,253.8",94.0,"165,740.8",93.7,"165,740.8",93.7,"165,740.8",93.7,"169,933.0",96.1,"165,917.7",93.8,"163,016.8",92.2,"162,344.6",91.8,"159,001.5",89.9,"159,001.5",89.9,"159,001.5",89.9,"159,673.7",90.3,"156,047.5",88.2,"159,355.3",90.1,"159,885.9",90.4,"161,796.3",91.5,"161,796.3",91.5,"161,796.3",91.5,"161,796.3",91.5,"158,276.3",89.5,"160,540.4",90.8,"162,910.7",92.1,"167,898.8",94.9,"167,898.8",94.9,"167,898.8",94.9,"3,573.1",2.0,-2.4,0.0,0.0,0.0,3.6,-2.1,3.2,-0.3,0.0,0.0,2.5,-2.4,-1.7,-0.4,-2.1,0.0,0.0,0.4,-2.3,2.1,0.3,1.2,0.0,0.0,0.0,-2.2,1.4,1.5,3.1,0.0,0.0
ABTX,"Allegiance Bancshares, Inc.",NASDAQ,Finance,510.5,22.6,20.5,782.5,0.6,-27.0,5.0,245.3,1.2,6.8,3.7,BB,499.5,24.5,499.5,24.5,499.5,24.5,482.3,23.6,461.7,22.6,451.5,22.1,465.0,22.8,492.3,24.1,492.3,24.1,492.3,24.1,479.3,23.5,457.3,22.4,456.4,22.4,458.5,22.5,456.0,22.4,456.0,22.4,456.0,22.4,496.8,24.4,471.7,23.1,508.0,24.9,507.2,24.9,506.8,24.8,506.8,24.8,506.8,24.8,506.8,24.8,540.5,26.5,569.9,27.9,535.0,26.2,522.5,25.6,522.5,25.6,522.5,25.6,29.4,1.4,-2.4,0.0,0.0,-3.4,-4.3,-2.2,3.0,5.9,0.0,0.0,-2.7,-4.6,-0.2,0.4,-0.5,0.0,0.0,8.9,-5.1,7.7,-0.2,-0.1,0.0,0.0,0.0,6.6,5.4,-6.1,-2.3,0.0,0.0
ACA,Arcosa Inc,NYSE,Industrials,"1,796.8",24.2,48.3,"2,155.8",0.5,20.8,8.3,"1,878.6",4.2,4.8,2.3,BBB,"1,698.5",35.2,"1,698.5",35.2,"1,698.5",35.2,"1,677.7",34.8,"1,654.6",34.3,"1,583.2",32.8,"1,564.4",32.5,"1,572.2",32.6,"1,572.2",32.6,"1,572.2",32.6,"1,622.3",33.7,"1,585.7",32.9,"1,555.8",32.3,"1,551.4",32.2,"1,557.2",32.3,"1,557.2",32.3,"1,557.2",32.3,"1,637.7",34.0,"1,627.6",33.8,"1,699.4",35.3,"1,713.9",35.6,"1,722.1",35.7,"1,722.1",35.7,"1,722.1",35.7,"1,722.1",35.7,"1,840.7",38.2,"1,916.4",39.8,"1,845.5",38.3,"1,840.2",38.2,"1,840.2",38.2,"1,840.2",38.2,107.6,2.2,-5.5,0.0,0.0,-1.2,-1.4,-4.3,-1.2,0.5,0.0,0.0,3.2,-2.3,-1.9,-0.3,0.4,0.0,0.0,5.2,-0.6,4.4,0.9,0.5,0.0,0.0,0.0,6.9,4.1,-3.7,-0.3,0.0,0.0
ACC,"American Campus Communities, Inc.",NYSE,Finance,"4,856.0",24.0,137.2,"6,462.1",0.5,-21.1,0.0,916.8,5.2,6.7,5.0,BBB,"4,507.9",32.8,"4,507.9",32.8,"4,507.9",32.8,"4,454.3",32.4,"4,392.3",31.9,"4,203.8",30.6,"4,278.1",31.1,"4,265.7",31.0,"4,265.7",31.0,"4,265.7",31.0,"4,209.3",30.6,"4,106.1",29.8,"3,687.8",26.8,"3,785.5",27.5,"3,917.6",28.5,"3,917.6",28.5,"3,917.6",28.5,"4,106.1",29.8,"4,166.7",30.3,"4,307.0",31.3,"4,402.0",32.0,"4,327.7",31.5,"4,327.7",31.5,"4,327.7",31.5,"4,327.7",31.5,"4,674.4",34.0,"4,762.5",34.6,"4,600.1",33.4,"4,444.6",32.3,"4,444.6",32.3,"4,444.6",32.3,249.6,1.8,-7.2,0.0,0.0,-1.2,-1.4,-4.3,1.8,-0.3,0.0,0.0,-1.3,-2.5,-10.2,2.6,3.5,0.0,0.0,4.8,1.5,3.4,2.2,-1.7,0.0,0.0,0.0,8.0,1.9,-3.4,-3.4,0.0,0.0
