Symbol,Name,Stock Exchange,Company Main Business,Size,Book Value Per Shr Tangble,Common Shares Outstdg,MktVal Co,Book to Market Ratio,Momentum,Monthly Return,Sales,MSCI ESG Rtg Score Environmental,MSCI ESG Rtg Score Governance,MSCI ESG Rtg Score Social,MSCI ESG Rtg Overall Company Rating,1 MktVal Co,1 Closing Price,2 MktVal Co,2 Closing Price,3 MktVal Co,3 Closing Price,4 MktVal Co,4 Closing Price,5 MktVal Co,5 Closing Price,6 MktVal Co,6 Closing Price,7 MktVal Co,7 Closing Price,8 MktVal Co,8 Closing Price,9 MktVal Co,9 Closing Price,10 MktVal Co,10 Closing Price,11 MktVal Co,11 Closing Price,12 MktVal Co,12 Closing Price,13 MktVal Co,13 Closing Price,14 MktVal Co,14 Closing Price,15 MktVal Co,15 Closing Price,16 MktVal Co,16 Closing Price,17 MktVal Co,17 Closing Price,18 MktVal Co,18 Closing Price,19 MktVal Co,19 Closing Price,20 MktVal Co,20 Closing Price,21 MktVal Co,21 Closing Price,22 MktVal Co,22 Closing Price,23 MktVal Co,23 Closing Price,24 MktVal Co,24 Closing Price,25 MktVal Co,25 Closing Price,26 MktVal Co,26 Closing Price,27 MktVal Co,27 Closing Price,28 MktVal Co,28 Closing Price,29 MktVal Co,29 Closing Price,30 MktVal Co,30 Closing Price,STD MktVal,STD Closing Price,1 Price Chg (LOCAL),2 Price Chg (LOCAL),3 Price Chg (LOCAL),4 Price Chg (LOCAL),5 Price Chg (LOCAL),6 Price Chg (LOCAL),7 Price Chg (LOCAL),8 Price Chg (LOCAL),9 Price Chg (LOCAL),10 Price Chg (LOCAL),11 Price Chg (LOCAL),12 Price Chg (LOCAL),13 Price Chg (LOCAL),14 Price Chg (LOCAL),15 Price Chg (LOCAL),16 Price Chg (LOCAL),17 Price Chg (LOCAL),18 Price Chg (LOCAL),19 Price Chg (LOCAL),20 Price Chg (LOCAL),21 Price Chg (LOCAL),22 Price Chg (LOCAL),23 Price Chg (LOCAL),24 Price Chg (LOCAL),25 Price Chg (LOCAL),26 Price Chg (LOCAL),27 Price Chg (LOCAL),28 Price Chg (LOCAL),29 Price Chg (LOCAL),30 Price Chg (LOCAL)
ABC,AmerisourceBergen Corporation,NYSE,Healthcare,"18,221.4",-28.6,205.8,"17,507.5",-0.3,-2.6,4.0,"186,287.0",10.0,5.2,3.0,BBB,"17,754.1",86.2,"17,272.3",83.9,"16,747.3",81.3,"16,747.3",81.3,"16,747.3",81.3,"17,766.4",86.3,"17,953.8",87.2,"18,186.4",88.3,"18,079.4",87.8,"18,079.4",87.8,"18,079.4",87.8,"18,079.4",87.8,"17,593.5",85.5,"18,410.9",89.4,"18,186.4",88.3,"17,764.4",86.3,"18,363.5",89.2,"18,363.5",89.2,"18,363.5",89.2,"18,452.0",89.6,"17,618.2",85.6,"17,809.7",86.5,"17,966.1",87.3,"18,262.6",88.7,"18,262.6",88.7,"18,262.6",88.7,"18,690.9",90.8,"18,433.5",89.5,"18,394.4",89.3,"18,460.3",89.7,519.9,2.5,-2.6,-2.7,-3.0,0.0,0.0,6.1,1.1,1.3,-0.6,0.0,0.0,0.0,-2.7,4.6,-1.2,-2.3,3.4,0.0,0.0,0.5,-4.5,1.1,0.9,1.7,0.0,0.0,2.3,-1.4,-0.2,0.4
ABCB,Ameris Bancorp,NASDAQ,Finance,"1,647.4",20.8,69.5,"2,963.4",0.5,-5.1,12.8,"1,070.2",2.4,7.2,3.8,BBB,"1,562.9",22.5,"1,589.2",22.9,"1,432.5",20.7,"1,432.5",20.7,"1,432.5",20.7,"1,550.4",22.4,"1,585.0",22.9,"1,671.7",24.1,"1,844.4",26.6,"1,844.4",26.6,"1,844.4",26.6,"1,844.4",26.6,"1,730.0",25.0,"1,669.6",24.1,"1,516.4",21.9,"1,399.9",20.2,"1,566.6",22.6,"1,566.6",22.6,"1,566.6",22.6,"1,538.1",22.2,"1,561.0",22.5,"1,525.6",22.0,"1,511.7",21.8,"1,563.8",22.5,"1,563.8",22.5,"1,563.8",22.5,"1,709.0",24.6,"1,730.5",24.9,"1,864.5",26.9,"1,765.9",25.4,136.9,2.0,-5.1,1.7,-9.9,0.0,0.0,8.2,2.2,5.5,10.3,0.0,0.0,0.0,-6.2,-3.5,-9.2,-7.7,11.7,0.0,0.0,-1.8,1.5,-2.3,-0.9,3.4,0.0,0.0,9.3,1.3,7.7,-5.3
ABG,"Asbury Automotive Group, Inc.",NYSE,Consumer Cyclicals,"1,064.8",16.7,19.3,"2,162.9",0.1,-14.4,42.9,"6,788.4",1.8,7.3,4.4,BBB,910.9,47.3,906.1,47.0,811.6,42.1,811.6,42.1,811.6,42.1,918.6,47.7,945.4,49.0,"1,047.6",54.3,"1,165.0",60.4,"1,165.0",60.4,"1,165.0",60.4,"1,165.0",60.4,"1,099.7",57.0,"1,165.4",60.5,"1,025.6",53.2,"1,025.1",53.2,"1,120.5",58.1,"1,120.5",58.1,"1,120.5",58.1,"1,056.9",54.8,"1,002.5",52.0,"1,003.9",52.1,"1,050.7",54.5,"1,127.2",58.5,"1,127.2",58.5,"1,127.2",58.5,"1,168.9",60.6,"1,225.0",63.5,"1,339.5",69.5,"1,301.3",67.5,135.0,7.0,-14.4,-0.5,-10.4,0.0,0.0,13.2,2.9,10.8,11.2,0.0,0.0,0.0,-5.6,6.0,-12.0,-0.1,9.3,0.0,0.0,-5.7,-5.1,0.1,4.7,7.3,0.0,0.0,3.7,4.8,9.3,-2.8
ABM,ABM Industries Incorporated,NYSE,Business Services,"1,623.1",-8.6,66.7,"2,504.5",-0.2,-3.3,47.6,"6,151.0",8.3,5.6,5.7,BBB,"1,556.5",23.4,"1,615.1",24.2,"1,517.9",22.8,"1,517.9",22.8,"1,517.9",22.8,"1,730.4",26.0,"1,753.7",26.3,"1,855.7",27.9,"1,927.6",28.9,"1,927.6",28.9,"1,927.6",28.9,"1,927.6",28.9,"1,911.6",28.7,"2,064.2",31.0,"2,035.6",30.6,"2,101.5",31.5,"2,190.8",32.9,"2,190.8",32.9,"2,190.8",32.9,"2,044.9",30.7,"2,007.6",30.1,"2,050.9",30.8,"2,075.6",31.2,"2,105.5",31.6,"2,105.5",31.6,"2,105.5",31.6,"2,201.5",33.0,"2,271.5",34.1,"2,395.4",36.0,"2,298.1",34.5,244.1,3.7,-4.1,3.8,-6.0,0.0,0.0,14.0,1.3,5.8,3.9,0.0,0.0,0.0,-0.8,8.0,-1.4,3.2,4.2,0.0,0.0,-6.7,-1.8,2.2,1.2,1.4,0.0,0.0,4.6,3.2,5.5,-4.1
ABMD,"ABIOMED, Inc.",NASDAQ,Healthcare,"6,541.3",22.1,45.1,"7,703.0",0.1,-0.5,32.4,798.1,6.3,4.6,6.8,A,"6,510.7",144.5,"6,456.6",143.3,"6,371.9",141.4,"6,371.9",141.4,"6,371.9",141.4,"6,771.2",150.3,"6,884.7",152.8,"7,042.0",156.3,"7,213.7",160.1,"7,213.7",160.1,"7,213.7",160.1,"7,213.7",160.1,"7,047.4",156.4,"7,270.9",161.4,"7,189.4",159.5,"7,219.1",160.2,"7,481.4",166.0,"7,481.4",166.0,"7,481.4",166.0,"7,489.5",166.2,"7,412.9",164.5,"7,513.4",166.7,"7,695.0",170.8,"7,594.0",168.5,"7,594.0",168.5,"7,594.0",168.5,"7,366.4",163.5,"7,408.4",164.4,"7,628.3",169.3,"8,607.9",191.3,484.9,10.8,-0.5,-0.8,-1.3,0.0,0.0,6.3,1.7,2.3,2.4,0.0,0.0,0.0,-2.3,3.2,-1.1,0.4,3.6,0.0,0.0,0.1,-1.0,1.4,2.4,-1.3,0.0,0.0,-3.0,0.6,3.0,13.0
ABT,Abbott Laboratories,NYSE,Healthcare,"139,152.5",-5.2,"1,762.5","153,516.2",-0.1,-3.0,20.7,"31,444.0",10.0,5.0,4.1,BBB,"135,026.1",76.6,"140,087.1",79.4,"140,104.8",79.5,"140,104.8",79.5,"140,104.8",79.5,"145,888.8",82.7,"144,478.1",81.9,"149,803.6",85.0,"151,725.8",86.0,"151,725.8",86.0,"151,725.8",86.0,"151,725.8",86.0,"151,390.7",85.9,"157,192.4",89.1,"160,366.6",90.9,"169,289.6",96.0,"169,307.2",96.0,"169,307.2",96.0,"169,307.2",96.0,"172,816.4",98.0,"165,850.9",94.1,"168,372.6",95.5,"165,656.9",93.9,"165,868.5",94.1,"165,868.5",94.1,"165,868.5",94.1,"167,438.0",95.0,"161,283.6",91.5,"163,229.0",92.3,"162,893.0",92.1,"11,273.9",6.4,-3.0,3.7,0.0,0.0,0.0,4.1,-1.0,3.7,1.3,0.0,0.0,0.0,-0.2,3.8,2.0,5.6,0.0,0.0,0.0,2.1,-4.0,1.5,-1.6,0.1,0.0,0.0,0.9,-3.7,0.9,-0.2
ABTX,"Allegiance Bancshares, Inc.",NASDAQ,Finance,490.7,22.6,20.5,782.5,0.6,-7.8,12.8,245.3,1.2,6.8,3.7,BB,452.7,22.2,468.5,23.0,441.5,21.7,441.5,21.7,441.5,21.7,477.7,23.5,466.3,22.9,495.4,24.3,552.0,27.1,552.0,27.1,552.0,27.1,552.0,27.1,510.1,25.1,501.9,24.7,462.0,22.7,439.8,21.6,471.2,23.2,471.2,23.2,471.2,23.2,454.5,22.3,446.0,21.9,452.1,22.2,456.9,22.5,461.6,22.7,461.6,22.7,461.6,22.7,496.2,24.4,517.8,25.4,568.1,27.9,510.5,25.1,39.0,1.9,-7.8,3.5,-5.8,0.0,0.0,8.2,-2.4,6.2,11.4,0.0,0.0,0.0,-7.6,-1.6,-7.9,-4.8,7.1,0.0,0.0,-3.5,-1.9,1.4,1.1,1.0,0.0,0.0,7.5,4.3,9.7,-10.1
ACA,Arcosa Inc,NYSE,Industrials,"1,918.6",24.2,48.3,"2,155.8",0.5,-5.9,-0.2,"1,878.6",4.2,4.8,2.3,BBB,"1,805.6",37.4,"1,767.0",36.6,"1,810.5",37.5,"1,810.5",37.5,"1,810.5",37.5,"1,943.7",40.3,"1,825.4",37.8,"1,919.1",39.8,"2,003.6",41.5,"2,003.6",41.5,"2,003.6",41.5,"2,003.6",41.5,"1,956.7",40.5,"1,979.4",41.0,"1,893.5",39.2,"1,831.7",37.9,"1,997.8",41.4,"1,997.8",41.4,"1,997.8",41.4,"1,928.3",39.9,"1,815.3",37.6,"1,829.8",37.9,"1,850.1",38.3,"1,848.6",38.3,"1,848.6",38.3,"1,848.6",38.3,"1,900.3",39.4,"1,917.6",39.7,"1,835.4",38.1,"1,796.8",37.3,79.0,1.6,-5.9,-2.1,2.5,0.0,0.0,7.4,-6.1,5.1,4.4,0.0,0.0,0.0,-2.3,1.2,-4.3,-3.3,9.1,0.0,0.0,-3.5,-5.9,0.8,1.1,-0.1,0.0,0.0,2.8,0.9,-4.2,-2.1
ACC,"American Campus Communities, Inc.",NYSE,Finance,"3,818.5",24.0,137.2,"6,462.1",0.5,-8.9,39.7,916.8,5.2,6.7,5.0,BBB,"3,477.3",25.3,"3,610.7",26.2,"3,561.2",25.9,"3,561.2",25.9,"3,561.2",25.9,"3,837.8",27.9,"3,952.0",28.7,"4,411.6",32.1,"4,685.4",34.1,"4,685.4",34.1,"4,685.4",34.1,"4,685.4",34.1,"4,701.9",34.2,"4,868.4",35.4,"4,634.5",33.7,"4,501.0",32.7,"4,633.1",33.7,"4,633.1",33.7,"4,633.1",33.7,"4,362.0",31.7,"4,169.4",30.3,"4,279.5",31.1,"4,129.5",30.0,"4,111.6",29.9,"4,111.6",29.9,"4,111.6",29.9,"4,490.0",32.6,"4,725.3",34.3,"4,945.5",35.9,"4,856.0",35.3,446.8,3.2,-8.9,3.8,-1.4,0.0,0.0,7.8,3.0,11.6,6.2,0.0,0.0,0.0,0.4,3.5,-4.8,-2.9,2.9,0.0,0.0,-5.9,-4.4,2.6,-3.5,-0.4,0.0,0.0,9.2,5.2,4.7,-1.8
ACHC,"Acadia Healthcare Company, Inc.",NASDAQ,Healthcare,"1,629.1",-0.4,87.7,"2,942.3",0.0,-6.5,39.9,"3,090.6",6.5,4.2,4.2,BBB,"1,523.5",17.2,"1,569.6",17.7,"1,378.7",15.5,"1,378.7",15.5,"1,378.7",15.5,"1,569.6",17.7,"1,654.8",18.6,"1,945.2",21.9,"2,041.0",23.0,"2,041.0",23.0,"2,041.0",23.0,"2,041.0",23.0,"1,937.2",21.8,"2,082.8",23.5,"2,014.4",22.7,"1,992.2",22.4,"2,107.6",23.7,"2,107.6",23.7,"2,107.6",23.7,"2,050.8",23.1,"1,982.4",22.3,"1,920.3",21.6,"1,938.1",21.8,"1,978.9",22.3,"1,978.9",22.3,"1,978.9",22.3,"2,179.5",24.6,"2,144.9",24.2,"2,192.9",24.7,"2,131.6",24.0,250.9,2.8,-6.5,3.0,-12.2,0.0,0.0,13.8,5.4,17.5,4.9,0.0,0.0,0.0,-5.1,7.5,-3.3,-1.1,5.8,0.0,0.0,-2.7,-3.3,-3.1,0.9,2.1,0.0,0.0,10.1,-1.6,2.2,-2.8
